subject,predicate,rtype,object
American,hasBase,only,PizzaBase
American,hasCountryOfOrigin,only,Country
American,hasTopping,some,MozzarellaTopping
American,hasTopping,some,PeperoniSausageTopping
American,hasTopping,some,TomatoTopping
AmericanHot,hasBase,some,PizzaBase
AmericanHot,hasCountryOfOrigin,some,Country
AmericanHot,hasSpiciness,some,Hot
AmericanHot,hasTopping,some,HotGreenPepperTopping
AmericanHot,hasTopping,some,JalapenoPepperTopping
AmericanHot,hasTopping,some,MozzarellaTopping
AmericanHot,hasTopping,some,PeperoniSausageTopping
AmericanHot,hasTopping,some,TomatoTopping
AnchoviesTopping,hasSpiciness,only,Mild
AnchoviesTopping,isToppingOf,only,Pizza
subject,predicate,rtype,object
ArtichokeTopping,hasSpiciness,only,Mild
ArtichokeTopping,isToppingOf,some,Pizza
subject,predicate,rtype,object
AsparagusTopping,hasSpiciness,only,Mild
AsparagusTopping,isToppingOf,only,Pizza
subject,predicate,rtype,object
Cajun,hasSpiciness,some,Medium
Cajun,hasTopping,some,MozzarellaTopping
Cajun,hasTopping,some,OnionTopping
Cajun,hasTopping,some,PeperonataTopping
Cajun,hasTopping,some,PrawnsTopping
Cajun,hasTopping,some,TobascoPepperSauce
CajunSpiceTopping,hasSpiciness,some,Hot
CajunSpiceTopping,hasSpiciness,only,Hot
CajunSpiceTopping,isToppingOf,only,Pizza
CaperTopping,hasSpiciness,only,Mild
CaperTopping,isToppingOf,only,Pizza
Capricciosa,hasBase,some,PizzaBase
Capricciosa,hasTopping,some,AnchoviesTopping
Capricciosa,hasTopping,some,CaperTopping
Capricciosa,hasTopping,some,HamTopping
Capricciosa,hasTopping,some,MozzarellaTopping
Capricciosa,hasTopping,some,OliveTopping
Capricciosa,hasTopping,some,PeperonataTopping
Capricciosa,hasTopping,some,TomatoTopping
Caprina,hasBase,some,PizzaBase
Caprina,hasTopping,some,GoatsCheeseTopping
Caprina,hasTopping,some,MozzarellaTopping
Caprina,hasTopping,some,SauceTopping
Caprina,hasTopping,some,SundriedTomatoTopping
CheeseTopping,isToppingOf,some,Pizza
CheeseyPizza,hasTopping,some,CheeseTopping
CheeseyVegetableTopping,hasIngredient,some,CheeseTopping
CheeseyVegetableTopping,hasIngredient,some,VegetableTopping
ChickenTopping,hasSpiciness,only,Mild
ChickenTopping,isToppingOf,only,Pizza
Country,hasCountryOfOrigin,only,Pizza
DeepPanBase,isBaseOf,only,Pizza
DomainConcept,hasCountryOfOrigin,some,Country
DomainConcept,hasCountryOfOrigin,only,Country
Fiorentina,hasBase,some,PizzaBase
Fiorentina,hasTopping,some,GarlicTopping
Fiorentina,hasTopping,some,MozzarellaTopping
Fiorentina,hasTopping,some,OliveTopping
Fiorentina,hasTopping,some,ParmesanTopping
Fiorentina,hasTopping,some,SpinachTopping
Fiorentina,hasTopping,some,TomatoTopping
FishTopping,hasIngredient,some,MixedSeafoodTopping
FishTopping,hasSpiciness,only,Mild
Food,hasCountryOfOrigin,only,Country
Food,hasCountryOfOrigin,some,Country
Food,hasIngredient,only,Food
Food,hasIngredient,some,Food
Food,hasSpiciness,only,Spiciness
Food,hasSpiciness,some,Spiciness
FourCheesesTopping,hasIngredient,some,CheeseTopping
FourCheesesTopping,hasIngredient,only,CheeseTopping
FourCheesesTopping,hasSpiciness,some,Mild
FourCheesesTopping,hasSpiciness,only,Mild
FourSeasons,hasBase,some,PizzaBase
FourSeasons,hasTopping,some,AnchoviesTopping
FourSeasons,hasTopping,some,CaperTopping
FourSeasons,hasTopping,some,MozzarellaTopping
FourSeasons,hasTopping,some,MushroomTopping
FourSeasons,hasTopping,some,OliveTopping
FourSeasons,hasTopping,some,PeperoniSausageTopping
FourSeasons,hasTopping,some,TomatoTopping
FruitTopping,isToppingOf,only,Pizza
FruitTopping,isToppingOf,some,Pizza
subject,predicate,rtype,object
FruttiDiMare,hasBase,some,PizzaBase
FruttiDiMare,hasTopping,some,GarlicTopping
FruttiDiMare,hasTopping,some,MixedSeafoodTopping
FruttiDiMare,hasTopping,some,TomatoTopping
GarlicTopping,hasSpiciness,only,Medium
subject,predicate,rtype,object
Giardiniera,hasBase,some,PizzaBase
Giardiniera,hasBase,only,PizzaBase
Giardiniera,hasTopping,some,LeekTopping
